iter	MAE
0	0.4992640576
1	0.4795018817
2	0.4648440371
3	0.4532394953
4	0.4407564207
5	0.4286542811
6	0.4121045161
7	0.4016071377
8	0.3888801195
9	0.3764416389
10	0.3612012103
11	0.3508483374
12	0.3380470471
13	0.326980904
14	0.3145651887
15	0.3076618296
16	0.2959321745
17	0.2846400673
18	0.2741381436
19	0.2636282155
20	0.2568274918
21	0.2467930272
22	0.238921592
23	0.2338640567
24	0.2272845256
25	0.2238584796
26	0.2165377714
27	0.2124611516
28	0.2059781848
29	0.1995116324
30	0.1941824042
31	0.1885629387
32	0.1831004689
33	0.1781650622
34	0.1735639189
35	0.1693108345
36	0.1650234451
37	0.1609889774
38	0.1573532084
39	0.1545098431
40	0.1510653859
41	0.1480406589
42	0.1452433984
43	0.1430160417
44	0.1405321779
45	0.1379365413
46	0.1355787691
47	0.1334284702
48	0.1311029999
49	0.1294603448
50	0.1271672262
51	0.1254636296
52	0.1238333944
53	0.1223688114
54	0.1208610499
55	0.119775909
56	0.1183416126
57	0.1170436272
58	0.1156454657
59	0.1144744794
60	0.1133478972
61	0.1125013287
62	0.1115059442
63	0.110626022
64	0.1097955832
65	0.1090266651
66	0.1082560219
67	0.1078065536
68	0.1070794915
69	0.1065089384
70	0.1059935028
71	0.105412915
72	0.1049196832
73	0.1044512818
74	0.1040531797
75	0.1036009308
76	0.1031517608
77	0.1026441732
78	0.1022547441
79	0.1019155499
80	0.1015007405
81	0.1011058268
82	0.100777811
83	0.1004035805
84	0.1002610904
85	0.09981744633
86	0.09958320891
87	0.09910559416
88	0.09887238548
89	0.09858387932
90	0.09817254907
91	0.09775594084
92	0.09739996825
93	0.09721613535
94	0.09682864175
95	0.09655688701
96	0.09630890908
97	0.09614079713
98	0.09582118136
99	0.09559870612
100	0.09538105641
101	0.09497795385
102	0.09471358523
103	0.09446846436
104	0.09420507413
105	0.09381457684
106	0.09343696178
107	0.09317671624
108	0.09297614007
109	0.09287673429
110	0.09260284186
111	0.09239320129
112	0.09216005581
113	0.09176633994
114	0.09150032371
115	0.09104845015
116	0.09086054454
117	0.09040149282
118	0.09019987411
119	0.09008743998
120	0.08984628361
121	0.0895952443
122	0.08939835096
123	0.08911269397
124	0.08895627888
125	0.08865947604
126	0.08828823742
127	0.08790118536
128	0.08771780579
129	0.08737982942
130	0.08700753713
131	0.08656103458
132	0.0864283553
133	0.08619395621
134	0.08596032598
135	0.08565534989
136	0.08554356558
137	0.08540708653
138	0.08517765436
139	0.08492027187
140	0.08469415194
141	0.08455239482
142	0.08422325874
143	0.08386310963
144	0.08352134815
145	0.08320447579
146	0.08299169279
147	0.08279734131
148	0.08253290218
149	0.08232203669
150	0.08215654189
151	0.08197577575
152	0.08160896259
153	0.08109781869
154	0.08075453762
155	0.08049893787
156	0.08014746057
157	0.07998088465
158	0.0797604748
159	0.07952009811
160	0.07926694273
161	0.07904885281
162	0.07860403444
163	0.0784100962
164	0.07819643074
165	0.07787970833
166	0.07757710051
167	0.0773093662
168	0.07710279876
169	0.07677372034
170	0.07656263489
171	0.07636648587
172	0.07608010272
173	0.07588173623
174	0.0755991981
175	0.07523821426
176	0.07505022202
177	0.0747964098
178	0.07458314918
179	0.07437016376
180	0.07414296502
181	0.07387060445
182	0.07353711962
