2026-08-12 23:59:51 | INFO     | src.preprocessing.text_preprocessor | text_preprocessor:preprocess_dataset:167 | Exported text preprocessing Markdown report to: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-125\test_text_preprocessor_pipelin0\reports\text_preprocessing_report.md
2026-08-12 23:59:51 | INFO     | src.data.validation | validation:validate_dataset:77 | Starting Dataset Validation on 100 incident records...
2026-08-12 23:59:51 | INFO     | src.data.validation | validation:validate_dataset:131 | Dataset validation PASSED across all 12 quality gates.
2026-08-12 23:59:51 | INFO     | src.data.validation | validation:save_validation_report:445 | Validation reports generated: C:\Users\ANSHSI~1\AppData\Local\Temp\fcb_iip_test_oikcj79j\reports\validation_report.md & C:\Users\ANSHSI~1\AppData\Local\Temp\fcb_iip_test_oikcj79j\reports\validation_report.json
2026-08-12 23:59:51 | INFO     | src.data.validation | validation:validate_dataset:77 | Starting Dataset Validation on 3 incident records...
2026-08-12 23:59:51 | WARNING  | src.data.validation | validation:validate_dataset:133 | Dataset validation detected 11 failed quality gates out of 12.
2026-08-12 23:59:51 | INFO     | src.data.version_manager | version_manager:save_versioned_dataset:108 | Saving immutable dataset (2 rows) to version v1 -> C:\Users\ANSHSI~1\AppData\Local\Temp\fcb_iip_test_lvswzsa8\test_datasets_synthetic\v1\incidents.csv...
2026-08-12 23:59:51 | INFO     | src.data.version_manager | version_manager:save_versioned_dataset:124 | Dataset version v1 successfully finalized with verified metadata.
2026-08-12 23:59:51 | INFO     | src.data.version_manager | version_manager:save_versioned_dataset:108 | Saving immutable dataset (2 rows) to version v2 -> C:\Users\ANSHSI~1\AppData\Local\Temp\fcb_iip_test_lvswzsa8\test_datasets_synthetic\v2\incidents.parquet...
2026-08-12 23:59:51 | INFO     | src.data.version_manager | version_manager:save_versioned_dataset:124 | Dataset version v2 successfully finalized with verified metadata.
